UserID,Name,Email,Password,Age,Gender,Hobbies,Shoe Color Preference,Shoe Brand Preference,Price Range Preference,country,purchased_history
1,Daniel Anderson,daniel.anderson@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,44,Male,Travelling,GRAY,Clarks,1309,Kazakhstan,"[205, 244, 192]"
2,Daniel Wright,daniel.wright@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,44,Female,Hiking,BEIGE,Converse,1536,Pakistan,"[50, 175, 238, 160, 26, 44]"
3,Emily Turner,emily.turner@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,31,Female,Sports,NAVY,Salomon,458,United Arab Emirates,"[204, 83, 18, 222, 152, 52, 236, 161, 70]"
4,Ava Lopez,ava.lopez@yahoo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,20,Male,Sports,PINK,Dr. Martens,1342,Saudi Arabia,"[15, 181, 109, 68, 101, 31, 147, 89]"
5,Harper Turner,harper.turner@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,40,Male,Dancing,PURPLE,Salomon,72,Pakistan,"[65, 148, 179, 213]"
6,Robert Brown,robert.brown@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,30,Female,Hiking,PINK,Reebok,651,Bangladesh,"[91, 118, 65, 102]"
7,Christopher Hernandez,christopher.hernandez@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,21,Female,Hiking,RED,Birkenstock,1342,Singapore,"[104, 138, 76, 30, 17, 59, 34, 152, 26]"
8,Charlotte Young,charlotte.young@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,41,Female,Sports,TAN,Nike,947,Bangladesh,"[227, 82, 194, 11, 158, 177, 191, 90]"
9,Matthew Green,matthew.green@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,49,Female,Sports,BROWN,Adidas,370,India,"[166, 177]"
10,Chris Robinson,chris.robinson@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,44,Male,Sports,BROWN,Fila,586,Japan,"[32, 42, 108, 26, 68, 77, 131, 100]"
11,Mike Baker,mike.baker@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,31,Female,Hiking,PURPLE,Converse,1581,Kuwait,"[36, 22, 105, 27, 102, 85, 111, 62]"
12,John King,john.king@demo.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,60,Other,Dancing,OLIVE,Ralph Lauren,1551,India,"[78, 117, 76, 139]"
13,Mike Campbell,mike.campbell@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,50,Female,Travelling,YELLOW,Ralph Lauren,1354,Bangladesh,"[172, 21]"
14,Michael Lopez,michael.lopez@gmail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,26,Female,Sports,BEIGE,Nike,474,Iran,"[125, 107]"
15,Elizabeth Williams,elizabeth.williams@mail.com,ef92b778bafe771e89245b89ecbc08a44a4e166c06659911881f383d4473e94f,34,Male,Dancing,YELLOW,Brooks,111,Pakistan,"[102, 67, 41, 232, 199, 95, 28]"
